,Date,value,id_station
1,2022-01-01 00:00:00,16.0,AJU
2,2022-01-01 00:00:00,2.0,ATI
3,2022-01-01 00:00:00,1.0,CAM
5,2022-01-01 00:00:00,19.0,CHO
7,2022-01-01 00:00:00,40.0,CUA
8,2022-01-01 00:00:00,2.0,CUT
9,2022-01-01 00:00:00,7.0,FAC
11,2022-01-01 00:00:00,5.0,IZT
12,2022-01-01 00:00:00,1.0,LLA
13,2022-01-01 00:00:00,3.0,LPR
14,2022-01-01 00:00:00,2.0,MER
15,2022-01-01 00:00:00,19.0,NEZ
16,2022-01-01 00:00:00,6.0,PED
17,2022-01-01 00:00:00,2.0,SAG
18,2022-01-01 00:00:00,49.0,SFE
20,2022-01-01 00:00:00,7.0,TAH
21,2022-01-01 00:00:00,1.0,TLA
22,2022-01-01 00:00:00,2.0,TLI
24,2022-01-01 00:00:00,14.0,UIZ
25,2022-01-01 00:00:00,2.0,VIF
27,2022-01-01 00:00:00,5.0,CCA
28,2022-01-01 00:00:00,3.0,MGH
30,2022-01-01 00:00:00,70.0,MPA
31,2022-01-01 00:00:00,11.0,BJU
32,2022-01-01 00:00:00,27.0,INN
33,2022-01-01 00:00:00,6.0,GAM
34,2022-01-01 00:00:00,19.0,FAR
35,2022-01-01 00:00:00,22.0,SAC
36,2022-01-01 01:00:00,3.0,ACO
37,2022-01-01 01:00:00,17.0,AJU
38,2022-01-01 01:00:00,1.0,ATI
39,2022-01-01 01:00:00,1.0,CAM
40,2022-01-01 01:00:00,38.0,MON
41,2022-01-01 01:00:00,16.0,CHO
43,2022-01-01 01:00:00,20.0,CUA
45,2022-01-01 01:00:00,4.0,FAC
47,2022-01-01 01:00:00,12.0,IZT
48,2022-01-01 01:00:00,2.0,LLA
49,2022-01-01 01:00:00,10.0,LPR
50,2022-01-01 01:00:00,4.0,MER
51,2022-01-01 01:00:00,21.0,NEZ
52,2022-01-01 01:00:00,5.0,PED
53,2022-01-01 01:00:00,2.0,SAG
54,2022-01-01 01:00:00,36.0,SFE
56,2022-01-01 01:00:00,12.0,TAH
57,2022-01-01 01:00:00,1.0,TLA
58,2022-01-01 01:00:00,5.0,TLI
60,2022-01-01 01:00:00,9.0,UIZ
